,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
810,51-5021,51-5021,51-5021.00,51-5021.00,Job Printers,Job Printers,51-5021,51-5021.00,51-5021.00,Job Printers,Job Printers,51-5112,51-5021.00,51-5112.00,Job Printers,Printing Press Operators,51-5112,51-5112.00,51-5112.00,Printing Press Operators,Printing Press Operators
811,51-5023,51-5023,51-5023.00 AND 51-5023.01 AND 51-5023.02 AND 51-5023.03 AND 51-5023.04 AND 51-5023.05 AND 51-5023.06 AND 51-5023.07 AND 51-5023.08 AND 51-5023.09,51-5023.00,Printing Machine Operators AND Precision Printing Workers AND Offset Lithographic Press Setters and Set-Up Operators AND Letterpress Setters and Set-Up Operators AND Design Printing Machine Setters and Set-Up Operators AND Marking and Identification Printing Machine Setters and Set-Up Operators AND Screen Printing Machine Setters and Set-Up Operators AND Embossing Machine Set-Up Operators AND Engraver Set-Up Operators AND Printing Press Machine Operators and Tenders,Printing Machine Operators,51-5023,51-5023.00,51-5023.00,Printing Machine Operators,Printing Machine Operators,51-5112,51-5023.00,51-5112.00,Printing Machine Operators,Printing Press Operators,51-5112,51-5112.00,51-5112.00,Printing Press Operators,Printing Press Operators
812,51-5022,51-5022,51-5022.00 AND 51-5022.01 AND 51-5022.02 AND 51-5022.03 AND 51-5022.04 AND 51-5022.05 AND 51-5022.06 AND 51-5022.07 AND 51-5022.08 AND 51-5022.09 AND 51-5022.10 AND 51-5022.11 AND 51-5022.12,51-5022.00,Prepress Technicians and Workers AND Hand Compositors and Typesetters AND Paste-Up Workers AND Photoengravers AND Camera Operators AND Scanner Operators AND Strippers AND Platemakers AND Dot Etchers AND Electronic Masking System Operators AND Electrotypers and Stereotypers AND Plate Finishers AND Typesetting and Composing Machine Operators and Tenders,Prepress Technicians and Workers,51-5022,51-5022.00,51-5022.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111,51-5022.00,51-5111.00,Prepress Technicians and Workers,Prepress Technicians and Workers,51-5111,51-5111.00,51-5111.00,Prepress Technicians and Workers,Prepress Technicians and Workers
813,51-6011,51-6011,51-6011.00 AND 51-6011.01 AND 51-6011.02 AND 51-6011.03,51-6011.00,"Laundry and Dry-Cleaning Workers AND Spotters, Dry Cleaning AND Precision Dyers AND Laundry and Drycleaning Machine Operators and Tenders, Except Pressing",Laundry and Dry-Cleaning Workers,51-6011,51-6011.00,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011,51-6011.00,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers,51-6011,51-6011.00,51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Workers
814,51-6021,51-6021,51-6021.00 AND 51-6021.01 AND 51-6021.02 AND 51-6021.03,51-6021.00,"Pressers, Textile, Garment, and Related Materials AND Pressers, Delicate Fabrics AND Pressing Machine Operators and Tenders- Textile, Garment, and Related Materials AND Pressers, Hand","Pressers, Textile, Garment, and Related Materials",51-6021,51-6021.00,51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021,51-6021.00,51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials",51-6021,51-6021.00,51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Materials"
815,51-6031,51-6031,51-6031.00 AND 51-6031.01 AND 51-6031.02,51-6031.00,"Sewing Machine Operators AND Sewing Machine Operators, Garment AND Sewing Machine Operators, Non-Garment",Sewing Machine Operators,51-6031,51-6031.00,51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031,51-6031.00,51-6031.00,Sewing Machine Operators,Sewing Machine Operators,51-6031,51-6031.00,51-6031.00,Sewing Machine Operators,Sewing Machine Operators
816,51-6041,51-6041,51-6041.00,51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,51-6041,51-6041.00,51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,51-6041,51-6041.00,51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers,51-6041,51-6041.00,51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairers
817,51-6042,51-6042,51-6042.00,51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,51-6042,51-6042.00,51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,51-6042,51-6042.00,51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders,51-6042,51-6042.00,51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tenders
818,51-6051,51-6051,51-6051.00,51-6051.00,"Sewers, Hand","Sewers, Hand",51-6051,51-6051.00,51-6051.00,"Sewers, Hand","Sewers, Hand",51-6051,51-6051.00,51-6051.00,"Sewers, Hand","Sewers, Hand",51-6051,51-6051.00,51-6051.00,"Sewers, Hand","Sewers, Hand"
819,51-6052,51-6052,51-6052.00 AND 51-6052.01 AND 51-6052.02,51-6052.00,"Tailors, Dressmakers, and Custom Sewers AND Shop and Alteration Tailors AND Custom Tailors","Tailors, Dressmakers, and Custom Sewers",51-6052,51-6052.00,51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052,51-6052.00,51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers",51-6052,51-6052.00,51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewers"
820,51-6061,51-6061,51-6061.00,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,51-6061.00,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,51-6061.00,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,51-6061.00,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders
821,51-6062,51-6062,51-6062.00,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders",51-6062,51-6062.00,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders",51-6062,51-6062.00,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders",51-6062,51-6062.00,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tenders"
822,51-6063,51-6063,51-6063.00,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,51-6063.00,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,51-6063.00,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,51-6063.00,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
823,51-6064,51-6064,51-6064.00,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,51-6064.00,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,51-6064.00,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,51-6064.00,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
824,51-6091,51-6091,51-6091.00 AND 51-6091.01,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers AND Extruding and Forming Machine Operators and Tenders, Synthetic or Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,51-6091.00,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,51-6091.00,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,51-6091.00,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
825,51-6092,51-6092,51-6092.00,51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,51-6092,51-6092.00,51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,51-6092,51-6092.00,51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers,51-6092,51-6092.00,51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmakers
826,51-6093,51-6093,51-6093.00,51-6093.00,Upholsterers,Upholsterers,51-6093,51-6093.00,51-6093.00,Upholsterers,Upholsterers,51-6093,51-6093.00,51-6093.00,Upholsterers,Upholsterers,51-6093,51-6093.00,51-6093.00,Upholsterers,Upholsterers
827,51-6099,51-6099,51-6099.99,51-6099.99,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, and Furnishings Workers, All Other",51-6099,51-6099.99,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, and Furnishings Workers, All Other",51-6099,51-6099.00,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, and Furnishings Workers, All Other",51-6099,51-6099.00,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, and Furnishings Workers, All Other"
828,51-7011,51-7011,51-7011.00,51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,51-7011,51-7011.00,51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,51-7011,51-7011.00,51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,51-7011,51-7011.00,51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters
829,51-7021,51-7021,51-7021.00,51-7021.00,Furniture Finishers,Furniture Finishers,51-7021,51-7021.00,51-7021.00,Furniture Finishers,Furniture Finishers,51-7021,51-7021.00,51-7021.00,Furniture Finishers,Furniture Finishers,51-7021,51-7021.00,51-7021.00,Furniture Finishers,Furniture Finishers
830,51-7031,51-7031,51-7031.00,51-7031.00,"Model Makers, Wood","Model Makers, Wood",51-7031,51-7031.00,51-7031.00,"Model Makers, Wood","Model Makers, Wood",51-7031,51-7031.00,51-7031.00,"Model Makers, Wood","Model Makers, Wood",51-7031,51-7031.00,51-7031.00,"Model Makers, Wood","Model Makers, Wood"
831,51-7032,51-7032,51-7032.00,51-7032.00,"Patternmakers, Wood","Patternmakers, Wood",51-7032,51-7032.00,51-7032.00,"Patternmakers, Wood","Patternmakers, Wood",51-7032,51-7032.00,51-7032.00,"Patternmakers, Wood","Patternmakers, Wood",51-7032,51-7032.00,51-7032.00,"Patternmakers, Wood","Patternmakers, Wood"
832,51-7041,51-7041,51-7041.00 AND 51-7041.01 AND 51-7041.02,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood AND Sawing Machine Setters and Set-Up Operators AND Sawing Machine Operators and Tenders","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,51-7041.00,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,51-7041.00,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,51-7041.00,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, and Tenders, Wood"
833,51-7042,51-7042,51-7042.00 AND 51-7042.01 AND 51-7042.02,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing AND Woodworking Machine Setters and Set-Up Operators, Except Sawing AND Woodworking Machine Operators and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,51-7042.00,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,51-7042.00,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,51-7042.00,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
834,51-7099,51-7099,51-7099.99,51-7099.99,"Woodworkers, All Other","Woodworkers, All Other",51-7099,51-7099.99,51-7099.00,"Woodworkers, All Other","Woodworkers, All Other",51-7099,51-7099.00,51-7099.00,"Woodworkers, All Other","Woodworkers, All Other",51-7099,51-7099.00,51-7099.00,"Woodworkers, All Other","Woodworkers, All Other"
835,51-8011,51-8011,51-8011.00,51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,51-8011,51-8011.00,51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,51-8011,51-8011.00,51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,51-8011,51-8011.00,51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators
836,51-8012,51-8012,51-8012.00,51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatchers,51-8012,51-8012.00,51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatchers,51-8012,51-8012.00,51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatchers,51-8012,51-8012.00,51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatchers
837,51-8013,51-8013,51-8013.00 AND 51-8013.01 AND 51-8013.02,51-8013.00,"Power Plant Operators AND Power Generating Plant Operators, Except Auxiliary Equipment Operators AND Auxiliary Equipment Operators, Power",Power Plant Operators,51-8013,51-8013.00,51-8013.00,Power Plant Operators,Power Plant Operators,51-8013,51-8013.00,51-8013.00,Power Plant Operators,Power Plant Operators,51-8013,51-8013.00,51-8013.00,Power Plant Operators,Power Plant Operators
838,51-8021,51-8021,51-8021.00 AND 51-8021.01 AND 51-8021.02,51-8021.00,"Stationary Engineers and Boiler Operators AND Boiler Operators and Tenders, Low Pressure AND Stationary Engineers",Stationary Engineers and Boiler Operators,51-8021,51-8021.00,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021,51-8021.00,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021,51-8021.00,51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators
839,51-8031,51-8031,51-8031.00,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,Water and Liquid Waste Treatment Plant and System Operators,51-8031,51-8031.00,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,Water and Liquid Waste Treatment Plant and System Operators,51-8031,51-8031.00,51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,Water and Wastewater Treatment Plant and System Operators,51-8031,51-8031.00,51-8031.00,Water and Wastewater Treatment Plant and System Operators,Water and Wastewater Treatment Plant and System Operators
840,51-8091,51-8091,51-8091.00,51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operators,51-8091,51-8091.00,51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operators,51-8091,51-8091.00,51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operators,51-8091,51-8091.00,51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operators
841,51-8092,51-8092,51-8092.00 AND 51-8092.01 AND 51-8092.02,51-8092.00,Gas Plant Operators AND Gas Processing Plant Operators AND Gas Distribution Plant Operators,Gas Plant Operators,51-8092,51-8092.00,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092,51-8092.00,51-8092.00,Gas Plant Operators,Gas Plant Operators,51-8092,51-8092.00,51-8092.00,Gas Plant Operators,Gas Plant Operators
842,51-8093,51-8093,51-8093.00 AND 51-8093.01 AND 51-8093.02 AND 51-8093.03,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers AND Petroleum Pump System Operators AND Petroleum Refinery and Control Panel Operators AND Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,51-8093.00,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,51-8093.00,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,51-8093.00,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gaugers"
